row_type,variant_id,train_tile_id,eval_tile_id,eval_tile_rank,seed,phase25_seed_rank,train_timesteps,eval_max_steps,max_blocks,train_n_blocks,eval_n_blocks,n_features,observation_shape,action_space_n,episode_steps,terminated,truncated,all_actions_valid,invalid_action_count,total_contract_reward,selected_block_ids,claim_boundary
trained_policy,B0,tile_r003_c003,tile_r002_c003,1,0,1,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,0.9126224923,dltb_819563;dltb_822160;dltb_5371325;dltb_5307663;dltb_821511;dltb_3871714;dltb_820071;dltb_821720,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r002_c003,1,0,1,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,0.0968319885,dltb_1000812;dltb_1497530;dltb_1497532;dltb_1858642;dltb_1858643;dltb_2160382;dltb_2160383;dltb_2160391,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r002_c003,1,0,1,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,-0.1889744771,dltb_820949;dltb_823411;dltb_819614;dltb_821191;dltb_820893;dltb_2162083;dltb_5314586;dltb_819706,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r005_c004,2,0,1,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,2.0009680413,dltb_837874;dltb_843236;dltb_5309503;dltb_841718;dltb_837192;dltb_5380676;dltb_5301747;dltb_842549,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r005_c004,2,0,1,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,1.6167537795,dltb_1000134;dltb_10410;dltb_10411;dltb_10412;dltb_10413;dltb_10429;dltb_10430;dltb_10431,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r005_c004,2,0,1,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,1.1175810204,dltb_837631;dltb_5321129;dltb_839415;dltb_843407;dltb_1693828;dltb_839683;dltb_5380571;dltb_5302185,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r005_c003,3,0,1,1024,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,0.55615276,dltb_838624;dltb_840608;dltb_841726;dltb_843513;dltb_5307704;dltb_839664;dltb_842602;dltb_5318755,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r005_c003,3,0,1,1024,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,2.3828480037,dltb_10524;dltb_10525;dltb_10526;dltb_10534;dltb_10535;dltb_10536;dltb_10537;dltb_10538,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r005_c003,3,0,1,1024,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,-0.1372513038,dltb_5380010;dltb_5345912;dltb_838340;dltb_839289;dltb_841615;dltb_839037;dltb_841996;dltb_838836,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r002_c003,1,1,2,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,-0.3430190711,dltb_820914;dltb_3637330;dltb_820095;dltb_819687;dltb_821274;dltb_5307687;dltb_820968;dltb_818777,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r002_c003,1,1,2,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,0.0968319885,dltb_1000812;dltb_1497530;dltb_1497532;dltb_1858642;dltb_1858643;dltb_2160382;dltb_2160383;dltb_2160391,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r002_c003,1,1,2,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,-0.2396463715,dltb_821973;dltb_820290;dltb_819546;dltb_819185;dltb_822567;dltb_3871361;dltb_819671;dltb_821755,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r005_c004,2,1,2,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,0.7569973211,dltb_5309492;dltb_841965;dltb_841231;dltb_5303034;dltb_842547;dltb_838143;dltb_843350;dltb_1694157,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r005_c004,2,1,2,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,1.6167537795,dltb_1000134;dltb_10410;dltb_10411;dltb_10412;dltb_10413;dltb_10429;dltb_10430;dltb_10431,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r005_c004,2,1,2,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,-0.5093404254,dltb_839204;dltb_5380344;dltb_838502;dltb_838567;dltb_5312490;dltb_842647;dltb_838539;dltb_5379675,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r005_c003,3,1,2,1024,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,-0.0684795003,dltb_2154768;dltb_837034;dltb_841207;dltb_2158437;dltb_3874657;dltb_5312561;dltb_840717;dltb_837256,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r005_c003,3,1,2,1024,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,2.3828480037,dltb_10524;dltb_10525;dltb_10526;dltb_10534;dltb_10535;dltb_10536;dltb_10537;dltb_10538,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r005_c003,3,1,2,1024,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,0.2400511879,dltb_3874526;dltb_839664;dltb_5321014;dltb_843797;dltb_840407;dltb_843534;dltb_839125;dltb_843025,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r002_c003,1,2,3,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,-0.0748149038,dltb_5307667;dltb_822310;dltb_821138;dltb_821422;dltb_819431;dltb_3637507;dltb_821458;dltb_822949,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r002_c003,1,2,3,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,0.0968319885,dltb_1000812;dltb_1497530;dltb_1497532;dltb_1858642;dltb_1858643;dltb_2160382;dltb_2160383;dltb_2160391,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r002_c003,1,2,3,1024,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,-0.5561665136,dltb_821751;dltb_821636;dltb_5372938;dltb_823143;dltb_822969;dltb_819363;dltb_5372130;dltb_818928,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r005_c004,2,2,3,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,-0.6313717233,dltb_841173;dltb_842739;dltb_843142;dltb_5381150;dltb_840125;dltb_1694153;dltb_5321112;dltb_840672,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r005_c004,2,2,3,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,1.6167537795,dltb_1000134;dltb_10410;dltb_10411;dltb_10412;dltb_10413;dltb_10429;dltb_10430;dltb_10431,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r005_c004,2,2,3,1024,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,-0.0655297308,dltb_838124;dltb_843557;dltb_842352;dltb_837440;dltb_5346513;dltb_5380135;dltb_843183;dltb_1693806,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
