row_type,variant_id,eval_tile_id,seed_count,mean_total_contract_reward,std_total_contract_reward,min_total_contract_reward,max_total_contract_reward,train_timesteps,eval_max_steps,claim_boundary
trained_policy,B0,tile_r002_c003,3,0.1649295058,0.5399178767,-0.3430190711,0.9126224923,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B0,tile_r002_c003,3,0.0968319885,0.0,0.0968319885,0.0968319885,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B0,tile_r002_c003,3,-0.3282624541,0.1624748298,-0.5561665136,-0.1889744771,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B0,tile_r005_c004,3,0.7088645464,1.0751870324,-0.6313717233,2.0009680413,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B0,tile_r005_c004,3,1.6167537795,0.0,1.6167537795,1.6167537795,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B0,tile_r005_c004,3,0.1809036214,0.6866660496,-0.5093404254,1.1175810204,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B0,tile_r005_c003,3,0.6740048462,0.6596339633,-0.0684795003,1.5343412789,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B0,tile_r005_c003,3,2.3828480037,0.0,2.3828480037,2.3828480037,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B0,tile_r005_c003,3,0.1904189624,0.2497574245,-0.1372513038,0.4684570032,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B1,tile_r002_c003,3,0.2779897358,0.4263873278,-0.2286331138,0.8145134417,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B1,tile_r002_c003,3,0.0968319885,0.0,0.0968319885,0.0968319885,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B1,tile_r002_c003,3,-0.0765994984,0.3175971281,-0.5078187855,0.2478189155,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B1,tile_r005_c004,3,-0.2814113723,0.2338344345,-0.4531644902,0.0491965986,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B1,tile_r005_c004,3,1.6167537795,0.0,1.6167537795,1.6167537795,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B1,tile_r005_c004,3,0.0444940625,0.2504990723,-0.2628510818,0.3507408773,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B1,tile_r005_c003,3,0.2525136761,0.7758129886,-0.4435205641,1.33502446,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B1,tile_r005_c003,3,2.3828480037,0.0,2.3828480037,2.3828480037,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B1,tile_r005_c003,3,0.8839883781,0.7674553417,0.18163801,1.9517593496,1024,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
