row_type,variant_id,train_tile_id,eval_tile_id,eval_tile_rank,seed,phase25_seed_rank,train_timesteps,eval_max_steps,max_blocks,train_n_blocks,eval_n_blocks,n_features,observation_shape,action_space_n,episode_steps,terminated,truncated,all_actions_valid,invalid_action_count,total_contract_reward,selected_block_ids,claim_boundary
trained_policy,B0,tile_r003_c003,tile_r002_c003,1,0,1,4096,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,0.3541580899,dltb_5341407;dltb_819136;dltb_823240;dltb_821360;dltb_818274;dltb_820222;dltb_822698;dltb_819992,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r002_c003,1,0,1,4096,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,0.0968319885,dltb_1000812;dltb_1497530;dltb_1497532;dltb_1858642;dltb_1858643;dltb_2160382;dltb_2160383;dltb_2160391,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r002_c003,1,0,1,4096,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,-0.1889744771,dltb_820949;dltb_823411;dltb_819614;dltb_821191;dltb_820893;dltb_2162083;dltb_5314586;dltb_819706,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r005_c004,2,0,1,4096,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,0.832196222,dltb_5303184;dltb_837121;dltb_841015;dltb_844015;dltb_5379105;dltb_839144;dltb_843172;dltb_838725,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r005_c004,2,0,1,4096,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,1.6167537795,dltb_1000134;dltb_10410;dltb_10411;dltb_10412;dltb_10413;dltb_10429;dltb_10430;dltb_10431,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r005_c004,2,0,1,4096,8,2234,2234,2140,17,42451,2234,8,True,False,True,0,1.1175810204,dltb_837631;dltb_5321129;dltb_839415;dltb_843407;dltb_1693828;dltb_839683;dltb_5380571;dltb_5302185,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r005_c003,3,0,1,4096,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,-0.480347579,dltb_5346365;dltb_837934;dltb_841322;dltb_844238;dltb_5380902;dltb_839604;dltb_843435;dltb_839292,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r005_c003,3,0,1,4096,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,2.3828480037,dltb_10524;dltb_10525;dltb_10526;dltb_10534;dltb_10535;dltb_10536;dltb_10537;dltb_10538,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r005_c003,3,0,1,4096,8,2234,2234,2128,17,42451,2234,8,True,False,True,0,-0.1372513038,dltb_5380010;dltb_5345912;dltb_838340;dltb_839289;dltb_841615;dltb_839037;dltb_841996;dltb_838836,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B0,tile_r003_c003,tile_r002_c003,1,1,2,4096,8,2234,2234,2188,17,42451,2234,8,True,False,True,0,0.1623026941,dltb_818305;dltb_820866;dltb_5322459;dltb_823148;dltb_821493;dltb_5372912;dltb_818204;dltb_820171,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
