row_type,variant_id,eval_tile_id,seed_count,mean_total_contract_reward,std_total_contract_reward,min_total_contract_reward,max_total_contract_reward,train_timesteps,eval_max_steps,claim_boundary
trained_policy,B0,tile_r002_c003,3,0.3163776204,0.1135647356,0.1623026941,0.4326720773,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B0,tile_r002_c003,3,0.0968319885,0.0,0.0968319885,0.0968319885,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B0,tile_r002_c003,3,-0.3282624541,0.1624748298,-0.5561665136,-0.1889744771,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B0,tile_r005_c004,3,0.7236152803,0.2281139757,0.4062438082,0.9324058106,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B0,tile_r005_c004,3,1.6167537795,0.0,1.6167537795,1.6167537795,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B0,tile_r005_c004,3,0.1809036214,0.6866660496,-0.5093404254,1.1175810204,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B0,tile_r005_c003,3,0.4075287504,0.84905937,-0.480347579,1.5515450811,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B0,tile_r005_c003,3,2.3828480037,0.0,2.3828480037,2.3828480037,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B0,tile_r005_c003,3,0.1904189624,0.2497574245,-0.1372513038,0.4684570032,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B1,tile_r002_c003,3,-0.491295271,0.4669490162,-1.0745858731,0.0684752446,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B1,tile_r002_c003,3,0.0968319885,0.0,0.0968319885,0.0968319885,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B1,tile_r002_c003,3,-0.0765994984,0.3175971281,-0.5078187855,0.2478189155,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B1,tile_r005_c004,3,0.5717461438,0.3299035433,0.2501920734,1.0252803424,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B1,tile_r005_c004,3,1.6167537795,0.0,1.6167537795,1.6167537795,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B1,tile_r005_c004,3,0.0444940625,0.2504990723,-0.2628510818,0.3507408773,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B1,tile_r005_c003,3,0.9714569718,0.3631801215,0.4582876338,1.2465517427,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B1,tile_r005_c003,3,2.3828480037,0.0,2.3828480037,2.3828480037,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B1,tile_r005_c003,3,0.8839883781,0.7674553417,0.18163801,1.9517593496,4096,8,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
